config_Id,distance_measure,clustering_option1,clustering_option2
cd1,manhattan_distance,threshold_percentile_25,0.10
cd2,manhattan_distance,threshold_percentile_25,0.20
cd3,manhattan_distance,threshold_percentile_25,0.40
cd4,manhattan_distance,threshold_percentile_50,0.10
cd5,manhattan_distance,threshold_percentile_50,0.20
cd6,manhattan_distance,threshold_percentile_50,0.40
cd7,manhattan_distance,knn_5,0.10
cd8,manhattan_distance,knn_5,0.20
cd9,manhattan_distance,knn_5,0.90
cd10,manhattan_distance,knn_20,0.10
cd11,manhattan_distance,knn_20,0.20
cd12,manhattan_distance,knn_20,0.50
cd13,canberra_distance,threshold_percentile_25,0.10
cd14,canberra_distance,threshold_percentile_25,0.20
cd15,canberra_distance,threshold_percentile_25,0.40
cd16,canberra_distance,threshold_percentile_50,0.10
cd17,canberra_distance,threshold_percentile_50,0.20
cd18,canberra_distance,threshold_percentile_50,0.40
cd19,canberra_distance,knn_5,0.10
cd20,canberra_distance,knn_5,0.20
cd21,canberra_distance,knn_5,0.90
cd22,canberra_distance,knn_20,0.10
cd23,canberra_distance,knn_20,0.20
cd24,canberra_distance,knn_20,0.50