cluster_uid,target,sources,n_source,silhouette_score,cluster_density,cluster_diameter,note,cluster_note,shortest_PPI_path_score_hippie,shared_PPI_partners_score_hippie,shortest_PPI_path_score_stringdb,shared_PPI_partners_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_biogrid,density_hippie,density_score_hippie,lcc_hippie,lcc_score_hippie,tc_hippie,tc_score_hippie,density_stringdb,density_score_stringdb,lcc_stringdb,lcc_score_stringdb,tc_stringdb,tc_score_stringdb,density_biogrid,density_score_biogrid,lcc_biogrid,lcc_score_biogrid,tc_biogrid,tc_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,TFBS_affinity,TFBS_affinity_score,TF_found_per,TFBS_affinity_sum,TFBS_affinity_sum_score,dCor_sources_obs,dCor_target_obs,dCor_sources_score,dCor_target_score
a232dd1a20c9c3,ACTA1,APEX2;AVEN;TPI1;ILF3;SSRP1;TIMELESS;LMO1,7,0.58167,0.11546,0.24426,c1,leiden,0.46032,9.39104,0.50794,6.85171,0.54762,13.09226,0.04762,0.80846,0.28571,0.80846,0.0,-0.0,0.09524,2.53568,0.42857,2.66921,0.0,-0.0,0.14286,3.00568,0.57143,3.00568,0.28571,4.61512,0.31103,0.78846,0.32476,0.0,0.0,0.0,0.0,0.0,0.36653,0.4444,2.17355,5.11799
f815745bff5e32,AR,NR3C2;NFIX,2,0.85266,0.1445,0.1445,c1,leiden,0.5,1.9048,0.33333,0.0,0.5,7.09432,0.0,0.0,0.5,0.0,1.0,4.61512,0.0,0.0,0.5,0.0,0.5,2.4179,0.0,0.0,0.5,0.0,0.5,1.47963,0.67543,1.7805,0.63311,0.08761,2.47009,100.0,0.17523,2.8184,0.23037,0.41381,0.69115,5.52346
8033eaccefe104,CKM,EZR;UXT;NME1;SMARCD1;GLYCTK;TIMELESS;TP53;NCBP2;HMG20B;TRIM38;SMARCA4;ZNF582,12,0.49868,0.01564,0.01641,c1,leiden,0.49495,8.65328,0.4899,11.60993,0.5101,9.17493,0.07576,1.72475,0.41667,1.35702,0.0,-0.0,0.07576,0.92624,0.41667,0.78648,0.0,-0.0,0.07576,1.11861,0.41667,0.90155,0.0,-0.0,0.33235,1.07546,0.29115,0.0,0.0,17.0,0.0,0.0,0.41272,0.42834,5.11799,6.21661
0d52e849db982e,CPT1B,MTHFD1;RBM22;HINFP;HOXA4,4,0.85112,0.00837,0.00961,c1,leiden,0.44444,3.59816,0.38889,0.22876,0.47222,7.87977,0.0,0.0,0.25,0.0,0.0,-0.0,0.0,0.0,0.25,0.0,0.0,-0.0,0.0,0.0,0.25,0.0,0.0,-0.0,0.32875,1.03826,0.29556,0.09816,3.10608,50.0,0.19632,3.22386,0.46115,0.09677,3.32623,0.28171
ae7acc6fa52364,KLF15,ARID5B;ZBTB16,2,0.22122,0.71505,0.71505,c1,leiden,0.5,5.07653,0.5,3.91658,0.5,7.76759,0.0,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,-0.0,0.51005,1.70864,0.41288,0.0,0.0,0.0,0.0,0.0,0.44758,0.42228,1.76226,3.38339
0c61e735cc9822,MEF2A,KMT5A;IKZF4;ZNF25;ZNF776;SMAD2;NCOA2;MRTFB;HMGB1;SETD3;NUCKS1;ARNT;ZNF43;TBL1XR1;MBTPS2;SF3B1;REST,16,0.63367,0.0257,0.06904,c1,leiden,0.46042,7.7191,0.43681,6.2141,0.48333,8.00664,0.03333,3.22883,0.3125,4.61512,0.0625,2.21723,0.025,1.72475,0.1875,1.31928,0.125,3.51651,0.03333,2.31254,0.3125,2.82336,0.0625,1.97606,0.41662,1.31124,0.36508,0.07358,1.09861,19.0,0.22075,0.86065,0.36844,0.43218,3.38339,6.21661
1d5b583b3e63c1,MEF2C,HLTF;RBFOX2;NR3C2;ESR1,4,0.42372,0.11304,0.15854,c1,leiden,0.63889,16.16184,0.63889,8.72509,0.63889,12.34399,0.33333,2.66921,0.75,2.82336,0.0,-0.0,0.33333,3.51651,0.75,3.51651,0.25,1.24782,0.33333,2.13021,0.75,2.13021,0.0,-0.0,0.48234,1.53383,0.41255,0.0,0.0,50.0,0.0,0.0,0.26097,0.43005,0.77419,5.52346
81aa2936f2ab2c,MYH7,DDX54;CANX;HTATIP2;ZNF541;ABCF2,5,0.34814,0.03604,0.05258,c1,leiden,0.51667,8.7115,0.41667,5.97782,0.51667,11.11179,0.1,1.21392,0.4,1.21392,0.0,-0.0,0.0,0.0,0.2,0.0,0.0,-0.0,0.1,0.83093,0.4,0.83093,0.0,-0.0,0.33126,0.78203,0.3286,0.0,0.0,0.0,0.0,0.0,0.20689,0.303,0.37596,1.00712
ae01c3404ad929,MYOD1,CBFA2T2;SRF;ZNF423;PURA;ZNF74;SCAI;PBXIP1;EGR4;PRRX1;DMAP1;THAP1;CITED2;FOXE3;FOXD4;MTF1;TERF2;SMUG1;CARM1;MYOG;ZNF672;TLE1;MED24;RBAK;TEAD4;ELK4;CNOT6;ZBTB25;ID1;ZNF76;HNRNPLL;KLF12,31,0.38405,0.02177,0.04512,c1,leiden,0.44982,2.01377,0.419,1.78679,0.45412,1.80394,0.02366,4.61512,0.22581,4.61512,0.12903,4.61512,0.02366,4.61512,0.32258,4.61512,0.16129,4.61512,0.01935,4.61512,0.19355,3.51651,0.09677,4.61512,0.51713,1.46187,0.46199,0.07042,1.90211,39.0,0.84507,2.21226,0.28254,0.15891,1.65226,6.21661
f7a4700a24bc4d,MYOG,SMARCD1;CUX2;SFMBT2;FLYWCH1;LUZP1;SRF;USF1;ZFP28;TBL1Y;IRF2BP1;ZSWIM1;ZNF226;TRIM27;TCF4;TAF1;NFYC;ZNF785;ZNF829;ZNF44;ZEB2;AKR1A1;ZNF793;PARP10;FOXE3;RAI1;ZSCAN18;MSRA;TLE3;PBXIP1;LPXN;PAX6;CNOT3;TP73;ARNT;TRIM28;PAX3;ARGLU1;JUN;TLE2;TRIM8;ZNF101;TRIM32;LAS1L;SUPT3H;TP53;ZNF69;PKNOX1;TRAF4,48,0.33705,0.02438,0.0459,c1,leiden,0.46661,4.54754,0.43898,3.73373,0.47931,3.93421,0.04344,4.61512,0.58333,3.92197,0.04167,2.53568,0.04699,4.61512,0.6875,4.61512,0.10417,4.61512,0.04344,4.61512,0.64583,4.61512,0.04167,2.82336,0.43819,1.22504,0.40423,0.00958,0.03545,31.0,0.14374,0.05103,0.28192,0.27919,1.77395,4.60717
2447abe57e2641,NR3C1,ZNF148;SMAD2;MLLT10;RB1;ZXDB;ZNF654;ZHX1;KMT2C;JMJD1C;SP4;CNOT2;HNRNPLL;ARID1B;N4BP2L2;SOX6;NR1D2,16,0.48264,0.0366,0.06121,c1,leiden,0.4875,5.19256,0.44444,4.90671,0.49028,6.57448,0.03333,3.92197,0.1875,1.90707,0.1875,1.97606,0.03333,3.22883,0.3125,4.61512,0.1875,3.92197,0.03333,3.51651,0.1875,1.78191,0.125,1.11861,0.49807,1.36892,0.44587,0.32501,3.69387,31.0,1.62506,4.20469,0.2412,0.31302,0.46721,2.02695
d63806b6b3a68b,NRF1,STAT2;METTL3;KMT2E;SMARCD2;ZNF276;IRF3;NONO;ZNF354B;ZNF595;ZNF814;ZNF785;DDX17;CREBZF;ZNF783,14,0.4936,0.02141,0.03934,c1,leiden,0.3956,5.28498,0.42399,5.62775,0.46154,6.27204,0.01282,0.55468,0.15385,0.55468,0.0,-0.0,0.02198,1.84253,0.14286,0.68329,0.0,-0.0,0.01099,0.60779,0.14286,0.60779,0.0,-0.0,0.52208,1.42123,0.47508,0.0,0.0,14.000000000000002,0.0,0.0,0.36688,0.49116,4.01938,5.11799
368670c994074c,PPARD,CBX7;TRERF1;MEF2B;PDCD11;TEF;TFAM;PBXIP1;POLR2A;RREB1;ZNF610;DMRTA1;ATF7IP;FOSL1;HIVEP3;DOT1L;GABPB1;ENO1;ZNF121,18,0.42349,0.01475,0.02642,c1,leiden,0.45207,4.45955,0.42593,3.62679,0.45643,4.3053,0.01307,0.87745,0.11111,0.25841,0.0,-0.0,0.01307,0.45624,0.11111,0.12648,0.05556,1.24782,0.02614,1.0042,0.22222,1.0316,0.0,-0.0,0.51129,1.31447,0.47617,0.0795,1.0838,39.0,0.55647,1.37148,0.26739,0.19538,0.95911,0.18833
b42ca3e21ce918,PPARGC1A,ZNF45;HMX3;TEF;PPARA;FERD3L;ZNF10;ZNF682;HNRNPC;ZBTB10;AJUBA;ZNF689;MYB;ZFP1;CSTF2;PHF12;WTIP;ZNF879;NHLH1;CEBPB;EXO5;ZBTB38;MTA3;ZKSCAN4;YOD1;MXI1;TIGD2;PGR;HES4;HOXA4;CLK1;BRD4;ZNF462;ZNF273;ZC3H7A,34,0.48374,0.0216,0.05947,c1,leiden,0.42439,3.1955,0.40255,3.23143,0.44623,4.16595,0.01426,1.78191,0.23529,1.78191,0.02941,1.67068,0.01961,4.61512,0.23529,3.00568,0.05882,0.92624,0.01961,1.28292,0.29412,1.21392,0.02941,1.28292,0.51959,1.31808,0.49208,0.07429,0.70819,32.0,0.81717,0.78152,0.23095,0.14373,0.2428,3.57755
4073704e8ee600,PPARGC1B,SMYD1;DBP;SPIB;MEF2C;MAMSTR;ARX;ZNF519,7,0.42162,0.02377,0.03506,c1,leiden,0.32302,0.58814,0.44048,1.361,0.2246,0.24498,0.0,0.0,0.14286,0.0,0.0,-0.0,0.09524,4.61512,0.42857,4.61512,0.0,-0.0,0.0,0.0,0.16667,0.0,0.0,-0.0,0.5155,1.52739,0.46167,0.06079,1.5421,43.0,0.18236,1.61443,0.22455,0.3049,0.44829,4.60717
04e67f5e490b39,TFAM,TDG;CNOT6;NCBP2;SMAD5;METTL14,5,0.43147,0.01506,0.01911,c1,leiden,0.5,3.81281,0.55,11.09205,0.5,2.59166,0.0,0.0,0.2,0.0,0.0,-0.0,0.1,1.84253,0.4,1.84253,0.0,-0.0,0.0,0.0,0.2,0.0,0.0,-0.0,0.44919,1.64764,0.33142,0.00025,0.42811,20.0,0.00025,0.4205,0.22727,0.36549,0.54673,1.8728
4f02de913fcdc1,TNNT1,XPC;ILF3;UTP18;ZNF213;GPS2;ZNF655;NOC2L;ABCF2;TP53;NCBP2,10,0.52606,0.04626,0.08825,c1,leiden,0.54444,24.47919,0.54074,19.53523,0.55926,20.3892,0.13333,2.82336,0.6,2.31254,0.0,-0.0,0.17778,4.61512,0.8,3.92197,0.0,-0.0,0.13333,1.97606,0.6,1.67068,0.0,-0.0,0.36906,1.08626,0.33416,0.00762,0.36166,20.0,0.01524,0.29267,0.30007,0.33309,1.31877,2.63309
